,bureau,adresse,cp,ville,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode
2,1,Centre Commercial,94440,Santeny,48.729143,2.5756639999999997,"Centre Commercial du Domaine de Santeny, CENTRE COMMERCIAL DU DOMAINE DE SANTENY | CTRE COMMERCIAL DU DOMAINE DE SANTENY 94440 Santeny",0.22,street,94070_XXXX_14ec6b,,"Centre Commercial du Domaine de Santeny, CENTRE COMMERCIAL DU DOMAINE DE SANTENY | CTRE COMMERCIAL DU DOMAINE DE SANTENY",,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
3,3,,94440,Santeny,48.714591,2.560834,But Gondy 94440 Santeny,0.5,locality,94070_XXXX_50e913,,But Gondy,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
4,3,2 Chemin des Graviers,94440,Santeny,48.719972999999996,2.572917,2 Rue des Graviers 94440 Santeny,0.65,housenumber,ADRNIVX_0000000271053071,2.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
5,3,3 Chemin des Graviers,94440,Santeny,48.719728,2.574492,3 Rue des Graviers 94440 Santeny,0.65,housenumber,ADRNIVX_0000000271053178,3.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
6,3,4 Chemin des Graviers,94440,Santeny,48.719894000000004,2.573289,4 Rue des Graviers 94440 Santeny,0.65,housenumber,ADRNIVX_0000000271053184,4.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
7,3,6 Chemin des Graviers,94440,Santeny,48.719813,2.5736630000000003,6 Rue des Graviers 94440 Santeny,0.65,housenumber,ADRNIVX_0000000271053182,6.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
8,3,10 Chemin des Graviers,94440,Santeny,48.719666,2.574589,10 Rue des Graviers 94440 Santeny,0.66,housenumber,ADRNIVX_0000000271053180,10.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
9,3,12 Chemin des Graviers,94440,Santeny,48.719599,2.575027,12 Rue des Graviers 94440 Santeny,0.66,housenumber,ADRNIVX_0000000271053181,12.0,Rue des Graviers,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
10,1,1 Rue du Clos Santenois,94440,Santeny,48.735603999999995,2.56007,1 Impasse du Clos Santenois 94440 Santeny,0.7,housenumber,ADRNIVX_0000000271043480,1.0,Impasse du Clos Santenois,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
11,1,2 Rue du Clos Santenois,94440,Santeny,48.7355,2.560253,2 Impasse du Clos Santenois 94440 Santeny,0.7,housenumber,ADRNIVX_0000000271043905,2.0,Impasse du Clos Santenois,,94440.0,Santeny,"94, Val-de-Marne, Île-de-France",94070.0
